231;Ultima noapte de dragoste, intaia noapte de razboi;Camil Petrescu;Roman psihologic
0;Book6;Author9;Description3
1;Book7;Author1;Description10
2;Book2;Author6;Description5
3;Book8;Author9;Description4
4;Book8;Author3;Description10
5;Book3;Author6;Description6
6;Harry Potter;JK Rowling;Fantasy
7;Book7;Author2;Description10
8;Book6;Author2;Description8
10;Book7;Author7;Description6
11;Book7;Author1;Description4
13;Book4;Author2;Description3
14;Book7;Author6;Description5
15;Book6;Author6;Description8
16;Book3;Author3;Description6
17;Book10;Author4;Description2
18;Book1;Author3;Description2
19;Book9;Author10;Description5
20;Book4;Author9;Description6
21;Book4;Author5;Description10
22;Book2;Author9;Description10
23;Book6;Author3;Description9
24;Book7;Author8;Description2
25;Book8;Author8;Description9
26;Book1;Author6;Description5
27;Book6;Author4;Description4
28;Book9;Author2;Description4
29;Book8;Author4;Description7
30;Book4;Author8;Description3
31;Book1;Author3;Description8
32;Book8;Author4;Description3
33;Book3;Author7;Description1
34;Book2;Author6;Description8
35;Book9;Author6;Description6
36;Book2;Author5;Description2
37;Book3;Author5;Description4
38;Book2;Author7;Description2
39;Book2;Author5;Description9
40;Book3;Author9;Description2
41;Book9;Author10;Description6
42;Book7;Author10;Description1
43;Book3;Author2;Description1
44;Book10;Author5;Description5
45;Book8;Author3;Description9
46;Book9;Author10;Description6
47;Book5;Author4;Description3
48;Book1;Author2;Description7
49;Book3;Author10;Description2
50;Book10;Author3;Description7
51;Book7;Author5;Description1
52;Book2;Author10;Description9
53;Book4;Author5;Description5
54;Book8;Author8;Description5
55;Book9;Author10;Description5
56;Book5;Author2;Description3
57;Book3;Author9;Description4
58;Book9;Author8;Description3
59;Book8;Author6;Description8
60;Book3;Author1;Description9
61;Book1;Author5;Description3
62;Book7;Author6;Description1
63;Book6;Author3;Description4
64;Book3;Author4;Description6
65;Book1;Author10;Description6
66;Book1;Author8;Description2
67;Book9;Author6;Description6
68;Book3;Author6;Description10
69;Book7;Author8;Description4
70;Book10;Author4;Description6
71;Book4;Author7;Description2
72;Book1;Author5;Description2
73;Book3;Author8;Description7
74;Book6;Author5;Description5
75;Book10;Author1;Description7
76;Book3;Author1;Description9
77;Book7;Author10;Description2
78;Book3;Author6;Description4
79;Book2;Author5;Description7
80;Book1;Author10;Description6
81;Book4;Author5;Description9
82;Book8;Author4;Description5
83;Book2;Author4;Description2
84;Book3;Author8;Description6
85;Book8;Author5;Description4
86;Book9;Author10;Description9
87;Book8;Author5;Description8
88;Book4;Author8;Description2
89;Book1;Author5;Description6
90;Book10;Author9;Description6
91;Book8;Author6;Description4
92;Book2;Author7;Description9
93;Book10;Author2;Description3
94;Book7;Author3;Description1
95;Book6;Author4;Description1
96;Book3;Author3;Description5
97;Book3;Author7;Description5
98;Book2;Author6;Description4
99;Book9;Author1;Description1
100;Book2;Author10;Description8
1234;pam;pam;pam
9999;pam;pam;pam
12345;pam;pam;pam
990;pam;pam;pam
1235;pam;pam;pam
9;title;author;description
2340;pam;pam;pam
